Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C19, C21, C22, C23, C4, C5, C6, C7, C8, C9",0402,14,100nF,C1525
"C12, C13",0402,2,8pF, C296006
"C15, C16, C17, C18, C20, C24",0805,6,10uF,C89189
"C2, C3",0402,2,1uF,C52923
"D1, D2, D3",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,C4154882
"D10, D11, D12, D5, D8, D9",0603,6,LED,C72038
"D13, D6, D7",D_SOD-323,3,NSR0320MW2T1G,C48192
D4,LED_D5.0mm_IRGrey,1,IRLED,DNP
J1,JST_S2B-ZR-SM4A-TF(LF)(SN),1,Battery,C2681533
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C167321
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,DNP
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,DNP
"Q1, Q2",SOT-23,2,2N7002,C389059
Q3,SOT-23,1,AP2302B,C406812
"R1, R10, R11, R21, R24, R34, R35, R4, R6, R7, R8, R9",0402,12,10k,C25744
R12,0805,1,20,C212359
"R13, R14, R15, R16, R19, R2, R22, R23, R3, R31, R32, R33",0402,12,1k,C11702
"R17, R18",0805,2,4.7k,C2907326
"R20, R25, R26, R36, R38",0402,5,100k,C25741
"R27, R28",0402,2,5.1k,C25905
"R29, R30",0402,2,27R,C25100
"R37, R39, R5",0805,3,100, C17408
S1,SW-SMD_TM-1011A,1,Wobble Switch,C318960
"SW1, SW2, SW6, SW7",SW_SPST_TL3305A,4,SW_Push,C92581
"SW3, SW4, SW5",SW_SPDT_PCM12,3,SW_SPDT,C319020
TP1,TestPoint_Pad_D1.0mm,1,SWCLK,DNP
TP2,TestPoint_Pad_D1.0mm,1,SWD,DNP
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JV,C97521
U3,OPTO-SMD_IRM-V838M3-C-TR1,1,~,C3291489
U4,SOT-23-5,1,TLV70233_SOT23-5,C118233
U5,SOT-23-5,1,SY6280AAC,C55136
U6,SOT-23-5,1,XT4054K421MR-G,C141405
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C255902
